# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.113           	4.12773546e+00	-6.28762896e-16	-1.05518185e-02	3.37658192e-04	3.86366655e-03	1.32087535e-01	2.06420539e+00	2.06353007e+00	1.32087535e-01	-1.32087535e-01	-1.41224270e-03	-9.13957581e-03
0.114           	4.13809856e+00	-6.33694137e-16	-1.10892075e-02	3.54854641e-04	4.10552902e-03	1.32419154e-01	2.06940413e+00	2.06869442e+00	1.32419154e-01	-1.32419154e-01	-1.43907475e-03	-9.65013279e-03
0.115           	4.14904653e+00	-6.38765308e-16	-1.10194524e-02	3.52622477e-04	4.04390143e-03	1.32769489e-01	2.07487589e+00	2.07417064e+00	1.32769489e-01	-1.32769489e-01	-1.46582478e-03	-9.55362764e-03
0.116           	4.15768217e+00	-6.43014480e-16	-1.04426801e-02	3.34165765e-04	3.72973225e-03	1.33045829e-01	2.07917525e+00	2.07850692e+00	1.33045829e-01	-1.33045829e-01	-1.49160782e-03	-8.95107232e-03
0.117           	4.16757660e+00	-6.47779600e-16	-1.06432940e-02	3.40585408e-04	3.80414120e-03	1.33362451e-01	2.08412889e+00	2.08344771e+00	1.33362451e-01	-1.33362451e-01	-1.51750580e-03	-9.12578819e-03
0.118           	4.17800510e+00	-6.52617526e-16	-1.07027537e-02	3.42488117e-04	3.80787174e-03	1.33696163e-01	2.08934504e+00	2.08866006e+00	1.33696163e-01	-1.33696163e-01	-1.54350509e-03	-9.15924858e-03
0.119           	4.18891849e+00	-6.57529516e-16	-1.16188127e-02	3.71802008e-04	4.23946018e-03	1.34045392e-01	2.09483105e+00	2.09408744e+00	1.34045392e-01	-1.34045392e-01	-1.56994619e-03	-1.00488666e-02
0.12            	4.19842179e+00	-6.62124153e-16	-1.14597259e-02	3.66711230e-04	4.13373958e-03	1.34349497e-01	2.09957761e+00	2.09884418e+00	1.34349497e-01	-1.34349497e-01	-1.59612338e-03	-9.86360255e-03
0.121           	4.20857769e+00	-6.66901956e-16	-1.16006153e-02	3.71219690e-04	4.17780211e-03	1.34674486e-01	2.10466006e+00	2.10391763e+00	1.34674486e-01	-1.34674486e-01	-1.62250554e-03	-9.97810977e-03
0.122           	4.21868832e+00	-6.71655861e-16	-1.25853927e-02	4.02732567e-04	4.64330764e-03	1.34998026e-01	2.10974689e+00	2.10894143e+00	1.34998026e-01	-1.34998026e-01	-1.64938873e-03	-1.09360040e-02
0.123           	4.22934384e+00	-6.76413665e-16	-1.23665259e-02	3.95728830e-04	4.50725910e-03	1.35339003e-01	2.11506765e+00	2.11427619e+00	1.35339003e-01	-1.35339003e-01	-1.67600387e-03	-1.06905221e-02
0.124           	4.23975813e+00	-6.81043389e-16	-1.21028888e-02	3.87292443e-04	4.34950460e-03	1.35672260e-01	2.12026636e+00	2.11949177e+00	1.35672260e-01	-1.35672260e-01	-1.70193982e-03	-1.04009490e-02
0.125           	4.25061173e+00	-6.85810598e-16	-1.22645221e-02	3.92464706e-04	4.40422540e-03	1.36019575e-01	2.12569833e+00	2.12491340e+00	1.36019575e-01	-1.36019575e-01	-1.72803563e-03	-1.05364864e-02
