# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0225          	2.50725327e+00	5.66089741e-16	-3.92209579e-03	-7.23322970e-17	3.46016740e-04	-7.95934329e-18	1.25362664e+00	1.25362664e+00	2.75085527e-16	2.91004214e-16	-1.61503115e-03	-2.30706463e-03
0.023           	2.49039514e+00	5.57277403e-16	-3.77930884e-03	-6.95518733e-17	3.22167667e-04	-7.16315344e-18	1.24519757e+00	1.24519757e+00	2.71475548e-16	2.85801855e-16	-1.56748675e-03	-2.21182208e-03
0.0235          	2.47439586e+00	5.48744528e-16	-3.94210726e-03	-6.68717919e-17	2.99542007e-04	-6.39569210e-18	1.23719793e+00	1.23719793e+00	2.67976572e-16	2.80767956e-16	-1.67151162e-03	-2.27059563e-03
0.024           	2.45922025e+00	5.40349249e-16	-3.75257344e-03	-6.42396492e-17	2.78355605e-04	-5.67065678e-18	1.22961013e+00	1.22961013e+00	2.64503968e-16	2.75845281e-16	-1.59793111e-03	-2.15464232e-03
0.0245          	2.44476508e+00	5.32225287e-16	-3.77674949e-03	-6.17159298e-17	2.58331825e-04	-4.97393649e-18	1.22238254e+00	1.22238254e+00	2.61138707e-16	2.71086580e-16	-1.63004292e-03	-2.14670657e-03
0.025           	2.43108562e+00	5.24239180e-16	-3.84821743e-03	-5.92352542e-17	2.39340470e-04	-4.31321849e-18	1.21554281e+00	1.21554281e+00	2.57806372e-16	2.66432809e-16	-1.68476824e-03	-2.16344918e-03
0.0255          	2.41812863e+00	5.16392489e-16	-3.70768313e-03	-5.68014625e-17	2.21504845e-04	-3.68474512e-18	1.20906431e+00	1.20906431e+00	2.54511499e-16	2.61880990e-16	-1.63233672e-03	-2.07534641e-03
0.026           	2.40588002e+00	5.08764868e-16	-3.80296286e-03	-5.44439085e-17	2.04309912e-04	-3.07767525e-18	1.20294001e+00	1.20294001e+00	2.51304759e-16	2.57460109e-16	-1.69717152e-03	-2.10579134e-03
0.0265          	2.39427680e+00	5.01350843e-16	-3.92620515e-03	-5.21595513e-17	1.87695090e-04	-2.49153927e-18	1.19713840e+00	1.19713840e+00	2.48183882e-16	2.53166961e-16	-1.77540748e-03	-2.15079766e-03
0.027           	2.38312915e+00	4.94045520e-16	-3.91567674e-03	-4.99222735e-17	1.71968264e-04	-1.93997098e-18	1.19156458e+00	1.19156458e+00	2.45082789e-16	2.48962731e-16	-1.78587010e-03	-2.12980663e-03
0.0275          	2.37267304e+00	4.86888657e-16	-3.87604130e-03	-4.77297571e-17	1.57005389e-04	-1.40905276e-18	1.18633652e+00	1.18633652e+00	2.42035276e-16	2.44853381e-16	-1.78101526e-03	-2.09502604e-03
0.028           	2.36273959e+00	4.79897455e-16	-3.90721688e-03	-4.56056090e-17	1.42655331e-04	-9.06874915e-19	1.18136980e+00	1.18136980e+00	2.39041853e-16	2.40855603e-16	-1.81095311e-03	-2.09626377e-03
0.0285          	2.35327574e+00	4.73023498e-16	-3.88082919e-03	-4.35298142e-17	1.28978528e-04	-4.36555973e-19	1.17663787e+00	1.17663787e+00	2.36075193e-16	2.36948305e-16	-1.81143607e-03	-2.06939312e-03
0.029           	2.34420893e+00	4.66358552e-16	-4.01659665e-03	-4.15295782e-17	1.15727553e-04	2.44312280e-20	1.17210446e+00	1.17210446e+00	2.33203707e-16	2.33154845e-16	-1.89257077e-03	-2.12402588e-03
0.0295          	2.33570520e+00	4.59787422e-16	-4.14943762e-03	-3.95516557e-17	1.02834302e-04	4.66165534e-19	1.16785260e+00	1.16785260e+00	2.30359877e-16	2.29427546e-16	-1.97188451e-03	-2.17755311e-03
0.03            	2.32773470e+00	4.53308174e-16	-4.02105525e-03	-3.76102388e-17	9.05944819e-05	8.79926750e-19	1.16386735e+00	1.16386735e+00	2.27534014e-16	2.25774160e-16	-1.91993314e-03	-2.10112211e-03
0.0305          	2.32017539e+00	4.46995168e-16	-4.08804117e-03	-3.57299619e-17	7.87057742e-05	1.28119004e-18	1.16008769e+00	1.16008769e+00	2.24778774e-16	2.22216394e-16	-1.96531481e-03	-2.12272636e-03
0.031           	2.31299813e+00	4.40782215e-16	-4.03229238e-03	-3.39015493e-17	6.73043223e-05	1.65170240e-18	1.15649906e+00	1.15649906e+00	2.22042810e-16	2.18739405e-16	-1.94884187e-03	-2.08345051e-03
0.0315          	2.30616664e+00	4.34663902e-16	-3.89144181e-03	-3.20964668e-17	5.64789569e-05	2.00371761e-18	1.15308332e+00	1.15308332e+00	2.19335669e-16	2.15328233e-16	-1.88924195e-03	-2.00219986e-03
0.032           	2.29980941e+00	4.28703176e-16	-4.01364941e-03	-3.03433420e-17	4.58392878e-05	2.34842534e-18	1.14990470e+00	1.14990470e+00	2.16700013e-16	2.12003163e-16	-1.96098542e-03	-2.05266400e-03
0.0325          	2.29381586e+00	4.22823704e-16	-3.97925758e-03	-2.86122703e-17	3.55498743e-05	2.67455437e-18	1.14690793e+00	1.14690793e+00	2.14086406e-16	2.08737298e-16	-1.95407891e-03	-2.02517866e-03
0.033           	2.28806777e+00	4.17084292e-16	-4.10012513e-03	-2.69550068e-17	2.54558361e-05	2.98222849e-18	1.14403389e+00	1.14403389e+00	2.11524374e-16	2.05559918e-16	-2.02460673e-03	-2.07551840e-03
0.0335          	2.28253619e+00	4.11477096e-16	-4.32197513e-03	-2.53391609e-17	1.54780529e-05	3.27727324e-18	1.14126810e+00	1.14126810e+00	2.09015821e-16	2.02461275e-16	-2.14550951e-03	-2.17646562e-03
0.034           	2.27761690e+00	4.05911313e-16	-4.31866758e-03	-2.37155783e-17	5.85650528e-06	3.56241999e-18	1.13880845e+00	1.13880845e+00	2.06518076e-16	1.99393236e-16	-2.15347729e-03	-2.16519030e-03
0.0345          	2.27284512e+00	4.00466212e-16	-4.31297918e-03	-2.21619066e-17	-3.50883648e-06	3.82976606e-18	1.13642256e+00	1.13642256e+00	2.04062872e-16	1.96403340e-16	-2.15999843e-03	-2.15298075e-03
0.035           	2.26852455e+00	3.95125480e-16	-4.39631238e-03	-2.06210660e-17	-1.26995016e-05	4.08836528e-18	1.13426228e+00	1.13426228e+00	2.01651105e-16	1.93474375e-16	-2.21085569e-03	-2.18545669e-03
0.0355          	2.26432399e+00	3.89829711e-16	-4.27985909e-03	-1.91288595e-17	-2.14661600e-05	4.31821508e-18	1.13216200e+00	1.13216200e+00	1.99233071e-16	1.90596641e-16	-2.16139570e-03	-2.11846338e-03
0.036           	2.26034969e+00	3.84643442e-16	-4.07589623e-03	-1.76874446e-17	-2.98799285e-05	4.53408371e-18	1.13017485e+00	1.13017485e+00	1.96855804e-16	1.87787637e-16	-2.06782804e-03	-2.00806818e-03
0.0365          	2.25683473e+00	3.79549331e-16	-4.12103382e-03	-1.62406679e-17	-3.82207024e-05	4.75219568e-18	1.12841737e+00	1.12841737e+00	1.94526861e-16	1.85022470e-16	-2.09873761e-03	-2.02229621e-03
0.037           	2.25342282e+00	3.74585464e-16	-4.34996248e-03	-1.48528742e-17	-4.65019611e-05	4.95682927e-18	1.12671141e+00	1.12671141e+00	1.92249561e-16	1.82335903e-16	-2.22148320e-03	-2.12847928e-03
0.0375          	2.25022625e+00	3.69679154e-16	-4.47547283e-03	-1.34957915e-17	-5.47267227e-05	5.14310064e-18	1.12511312e+00	1.12511312e+00	1.89982677e-16	1.79696476e-16	-2.29246314e-03	-2.18300969e-03
0.038           	2.24742804e+00	3.64833632e-16	-4.45541343e-03	-1.21451042e-17	-6.27439710e-05	5.32640609e-18	1.12371402e+00	1.12371402e+00	1.87743222e-16	1.77090410e-16	-2.29045068e-03	-2.16496274e-03
0.0385          	2.24482367e+00	3.60105160e-16	-4.53359232e-03	-1.08350069e-17	-7.06059132e-05	5.50435648e-18	1.12241184e+00	1.12241184e+00	1.85556937e-16	1.74548224e-16	-2.33740207e-03	-2.19619025e-03
0.039           	2.24242553e+00	3.55427289e-16	-4.51583367e-03	-9.55341551e-18	-7.82664793e-05	5.66503912e-18	1.12121276e+00	1.12121276e+00	1.83378684e-16	1.72048605e-16	-2.33618332e-03	-2.17965036e-03
0.0395          	2.24032508e+00	3.50822204e-16	-4.58431477e-03	-8.28202419e-18	-8.58409014e-05	5.82130986e-18	1.12016254e+00	1.12016254e+00	1.81232412e-16	1.69589792e-16	-2.37799829e-03	-2.20631648e-03
0.04            	2.23814127e+00	3.46255445e-16	-4.37332211e-03	-7.08093224e-18	-9.31185573e-05	5.94282243e-18	1.11907063e+00	1.11907063e+00	1.79070545e-16	1.67184900e-16	-2.27977961e-03	-2.09354250e-03
0.0405          	2.23633291e+00	3.41817109e-16	-4.45517135e-03	-5.88499734e-18	-1.00369061e-04	6.08185221e-18	1.11816646e+00	1.11816646e+00	1.76990406e-16	1.64826702e-16	-2.32795474e-03	-2.12721661e-03
0.041           	2.23470097e+00	3.37461538e-16	-4.64942544e-03	-4.71541309e-18	-1.07586527e-04	6.21069565e-18	1.11735048e+00	1.11735048e+00	1.74941465e-16	1.62520074e-16	-2.43229925e-03	-2.21712620e-03
0.0415          	2.23330368e+00	3.33157610e-16	-4.67273230e-03	-3.56998251e-18	-1.14745130e-04	6.33497301e-18	1.11665184e+00	1.11665184e+00	1.72913778e-16	1.60243832e-16	-2.45111128e-03	-2.22162102e-03
0.042           	2.23205046e+00	3.28898265e-16	-4.66981964e-03	-2.44232059e-18	-1.21757483e-04	6.44145633e-18	1.11602523e+00	1.11602523e+00	1.70890589e-16	1.58007676e-16	-2.45666731e-03	-2.21315234e-03
0.0425          	2.23103941e+00	3.24680482e-16	-4.71070564e-03	-1.31928261e-18	-1.28585717e-04	6.54010283e-18	1.11551971e+00	1.11551971e+00	1.68880344e-16	1.55800138e-16	-2.48393854e-03	-2.22676710e-03
0.043           	2.23018574e+00	3.20586202e-16	-4.82680435e-03	-2.46870379e-19	-1.35483509e-04	6.63615359e-18	1.11509287e+00	1.11509287e+00	1.66929255e-16	1.53656948e-16	-2.54888568e-03	-2.27791867e-03
0.0435          	2.22949946e+00	3.16525900e-16	-4.82091285e-03	8.14201498e-19	-1.42291104e-04	6.72936331e-18	1.11474973e+00	1.11474973e+00	1.64992313e-16	1.51533586e-16	-2.55274753e-03	-2.26816532e-03
0.044           	2.22879633e+00	3.12527179e-16	-4.87506077e-03	1.82705886e-18	-1.48986939e-04	6.80145940e-18	1.11439816e+00	1.11439816e+00	1.63065049e-16	1.49462130e-16	-2.58651732e-03	-2.28854345e-03
0.0445          	2.22835501e+00	3.08584424e-16	-4.81583524e-03	2.83020008e-18	-1.55532049e-04	6.87472801e-18	1.11417751e+00	1.11417751e+00	1.61166940e-16	1.47417484e-16	-2.56344967e-03	-2.25238557e-03
0.045           	2.22814603e+00	3.04718464e-16	-4.95937941e-03	3.81621787e-18	-1.62250398e-04	6.94221408e-18	1.11407301e+00	1.11407301e+00	1.59301446e-16	1.45417018e-16	-2.64194010e-03	-2.31743931e-03
0.0455          	2.22791898e+00	3.00835083e-16	-4.89769279e-03	4.80304638e-18	-1.68702839e-04	6.99758502e-18	1.11395949e+00	1.11395949e+00	1.57415126e-16	1.43419956e-16	-2.61754923e-03	-2.28014355e-03
0.046           	2.22794265e+00	2.97061610e-16	-5.01515074e-03	5.75728198e-18	-1.75150664e-04	7.05158243e-18	1.11397133e+00	1.11397133e+00	1.55582387e-16	1.41479222e-16	-2.68272603e-03	-2.33242471e-03
0.0465          	2.22808724e+00	2.93330655e-16	-5.03990343e-03	6.69646187e-18	-1.81585817e-04	7.09997402e-18	1.11404362e+00	1.11404362e+00	1.53765302e-16	1.39565354e-16	-2.70153753e-03	-2.33836590e-03
0.047           	2.22838632e+00	2.89635693e-16	-5.10431784e-03	7.61640267e-18	-1.87746330e-04	7.13744021e-18	1.11419316e+00	1.11419316e+00	1.51955287e-16	1.37680407e-16	-2.73990525e-03	-2.36441259e-03
0.0475          	2.22882347e+00	2.86025609e-16	-5.23277423e-03	8.50027409e-18	-1.94131243e-04	7.16986181e-18	1.11441173e+00	1.11441173e+00	1.50182666e-16	1.35842943e-16	-2.81051836e-03	-2.42225587e-03
0.048           	2.22929084e+00	2.82427126e-16	-5.16576020e-03	9.36769333e-18	-2.00418960e-04	7.19243851e-18	1.11464542e+00	1.11464542e+00	1.48406001e-16	1.34021124e-16	-2.78329906e-03	-2.38246114e-03
0.0485          	2.22994443e+00	2.78884034e-16	-5.20653792e-03	1.02263074e-17	-2.06658781e-04	7.21467206e-18	1.11497221e+00	1.11497221e+00	1.46656689e-16	1.32227345e-16	-2.80992774e-03	-2.39661018e-03
0.049           	2.23070227e+00	2.75384689e-16	-5.25596515e-03	1.10678612e-17	-2.12889303e-04	7.23114789e-18	1.11535113e+00	1.11535113e+00	1.44923492e-16	1.30461196e-16	-2.84087188e-03	-2.41509327e-03
0.0495          	2.23159042e+00	2.71940484e-16	-5.31937259e-03	1.18954042e-17	-2.19065022e-04	7.24359001e-18	1.11579521e+00	1.11579521e+00	1.43213832e-16	1.28726652e-16	-2.87875132e-03	-2.44062127e-03
0.05            	2.23258799e+00	2.68531550e-16	-5.37142453e-03	1.27057598e-17	-2.25214864e-04	7.24947919e-18	1.11629399e+00	1.11629399e+00	1.41515254e-16	1.27016296e-16	-2.91092713e-03	-2.46049740e-03
0.0505          	2.23366941e+00	2.65167574e-16	-5.44116609e-03	1.34973794e-17	-2.31337104e-04	7.24946636e-18	1.11683471e+00	1.11683471e+00	1.39833253e-16	1.25334321e-16	-2.95192015e-03	-2.48924594e-03
0.051           	2.23488409e+00	2.61846544e-16	-5.52484400e-03	1.42798876e-17	-2.37448160e-04	7.24926173e-18	1.11744205e+00	1.11744205e+00	1.38172534e-16	1.23674010e-16	-2.99987016e-03	-2.52497384e-03
0.0515          	2.23618477e+00	2.58567197e-16	-5.60976250e-03	1.50442157e-17	-2.43552470e-04	7.24314627e-18	1.11809239e+00	1.11809239e+00	1.36526745e-16	1.22040452e-16	-3.04843372e-03	-2.56132878e-03
0.052           	2.23750963e+00	2.55313068e-16	-5.56829356e-03	1.57821274e-17	-2.49591515e-04	7.22505287e-18	1.11875481e+00	1.11875481e+00	1.34881587e-16	1.20431481e-16	-3.03373829e-03	-2.53455526e-03
0.0525          	2.23899739e+00	2.52108816e-16	-5.63767100e-03	1.65164766e-17	-2.55629210e-04	7.20897389e-18	1.11949870e+00	1.11949870e+00	1.33263382e-16	1.18845434e-16	-3.07446471e-03	-2.56320629e-03
