# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e-01
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0305          	4.04703693e+00	4.46502899e-16	-2.20577046e-03	-1.94530476e-16	4.13845279e-05	8.13187853e-17	2.02351847e+00	2.02351847e+00	3.04570235e-16	1.41932664e-16	-1.06150070e-03	-1.14426976e-03
0.031           	4.02305756e+00	4.40054927e-16	-2.19643945e-03	-1.91279244e-16	3.71314939e-05	8.09523214e-17	2.01152878e+00	2.01152878e+00	3.00979785e-16	1.39075142e-16	-1.06108823e-03	-1.13535122e-03
0.0315          	3.99977647e+00	4.33779421e-16	-2.18957202e-03	-1.88117640e-16	3.30548787e-05	8.05929354e-17	1.99988824e+00	1.99988824e+00	2.97482646e-16	1.36296775e-16	-1.06173113e-03	-1.12784089e-03
0.032           	3.97716551e+00	4.27672511e-16	-2.18502082e-03	-1.85043807e-16	2.91420651e-05	8.02407563e-17	1.98858276e+00	1.98858276e+00	2.94077012e-16	1.33595499e-16	-1.06336835e-03	-1.12165248e-03
0.0325          	3.95519712e+00	4.21724433e-16	-2.17811847e-03	-1.82052543e-16	2.53860591e-05	7.98953527e-17	1.97759856e+00	1.97759856e+00	2.90757569e-16	1.30966864e-16	-1.06367318e-03	-1.11444529e-03
0.033           	3.93384612e+00	4.15930514e-16	-2.17268117e-03	-1.79140217e-16	2.17695263e-05	7.95569413e-17	1.96692306e+00	1.96692306e+00	2.87522198e-16	1.28408316e-16	-1.06457106e-03	-1.10811011e-03
0.0335          	3.91308792e+00	4.10285122e-16	-2.17313965e-03	-1.76305331e-16	1.82787568e-05	7.92250345e-17	1.95654396e+00	1.95654396e+00	2.84367596e-16	1.25917527e-16	-1.06829107e-03	-1.10484858e-03
0.034           	3.89290197e+00	4.04774952e-16	-2.17019327e-03	-1.73540379e-16	1.49096219e-05	7.88984916e-17	1.94645098e+00	1.94645098e+00	2.81285967e-16	1.23488984e-16	-1.07018701e-03	-1.10000626e-03
0.0345          	3.87326628e+00	3.99400954e-16	-2.16611268e-03	-1.70846325e-16	1.16664139e-05	7.85778294e-17	1.93663314e+00	1.93663314e+00	2.78278306e-16	1.21122648e-16	-1.07138993e-03	-1.09472275e-03
0.035           	3.85416138e+00	3.94157042e-16	-2.16180987e-03	-1.68219219e-16	8.53648399e-06	7.82629472e-17	1.92708069e+00	1.92708069e+00	2.75341468e-16	1.18815574e-16	-1.07236845e-03	-1.08944142e-03
0.0355          	3.83556693e+00	3.89034786e-16	-2.15651242e-03	-1.65655443e-16	5.51370983e-06	7.79530581e-17	1.91778347e+00	1.91778347e+00	2.72470451e-16	1.16564335e-16	-1.07274250e-03	-1.08376992e-03
0.036           	3.81746592e+00	3.84035963e-16	-2.15351553e-03	-1.63154574e-16	2.58926549e-06	7.76490676e-17	1.90873296e+00	1.90873296e+00	2.69667049e-16	1.14368914e-16	-1.07416850e-03	-1.07934703e-03
0.0365          	3.79983876e+00	3.79151412e-16	-2.14921561e-03	-1.60712659e-16	-2.43945234e-07	7.73500846e-17	1.89991938e+00	1.89991938e+00	2.66925790e-16	1.12225621e-16	-1.07485175e-03	-1.07436386e-03
0.037           	3.78266983e+00	3.74375491e-16	-2.14245313e-03	-1.58326666e-16	-2.98461300e-06	7.70557654e-17	1.89133491e+00	1.89133491e+00	2.64243511e-16	1.10131980e-16	-1.07421118e-03	-1.06824195e-03
0.0375          	3.76594296e+00	3.69705743e-16	-2.13664028e-03	-1.55996322e-16	-5.64632035e-06	7.67658528e-17	1.88297148e+00	1.88297148e+00	2.61618725e-16	1.08087019e-16	-1.07396646e-03	-1.06267382e-03
0.038           	3.74964584e+00	3.65134863e-16	-2.13710025e-03	-1.53717186e-16	-8.24636469e-06	7.64797636e-17	1.87482292e+00	1.87482292e+00	2.59047195e-16	1.06087668e-16	-1.07679649e-03	-1.06030376e-03
0.0385          	3.73376390e+00	3.60662859e-16	-2.12950971e-03	-1.51489483e-16	-1.07664141e-05	7.61980590e-17	1.86688195e+00	1.86688195e+00	2.56529489e-16	1.04133371e-16	-1.07552127e-03	-1.05398844e-03
0.039           	3.71827942e+00	3.56286319e-16	-2.12774510e-03	-1.49311202e-16	-1.32179300e-05	7.59203086e-17	1.85913971e+00	1.85913971e+00	2.54063468e-16	1.02222851e-16	-1.07709048e-03	-1.05065462e-03
0.0395          	3.70318585e+00	3.51999495e-16	-2.12292451e-03	-1.47179519e-16	-1.56069513e-05	7.56465330e-17	1.85159293e+00	1.85159293e+00	2.51646281e-16	1.00353215e-16	-1.07706920e-03	-1.04585530e-03
0.04            	3.68846356e+00	3.47800187e-16	-2.11913033e-03	-1.45093474e-16	-1.79361740e-05	7.53762074e-17	1.84423178e+00	1.84423178e+00	2.49276301e-16	9.85238860e-17	-1.07750134e-03	-1.04162899e-03
